Nube_De_Puntos;Formato;Area;Fecha;Fuente;Tipo_Objeto;No_Objetos;Lugar;Iluminacion;Obj_Similares;No_Similares;Oclusion;Mov_X;Mov_Y;Mov_Z;Grados;No_Capas;Obj_Add;Ambiente
2Body_Front_1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_1-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_1-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_1-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_1-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_2-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_2-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_2-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_2-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_3-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_3-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_3-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_3-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_4-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_4-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_4-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_4-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_5;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_5-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_5-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_5-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_5-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_6;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_6-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_6-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_6-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_6-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_7;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_7-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_7-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_7-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Front_7-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_1-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_1-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_1-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_1-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_2-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_2-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_2-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_2-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_3-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_3-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_3-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_3-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_4-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_4-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_4-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_4-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_5;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_5-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_5-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_5-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_5-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_6;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_6-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_6-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_6-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_InFront_6-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_1-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_1-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_1-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_1-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_2-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_2-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_2-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_2-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_3-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_3-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_3-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_3-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_4-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_4-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_4-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_4-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_5;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_5-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_5-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_5-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_5-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_6;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_6-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_6-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_6-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle45_6-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_1-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_1-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_1-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_1-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
